PRINCIPAL_PARTS,SHORT_DEFINITION
versus versūs m.,line (of poetry)
vīgintī; vīcēsimus –a –um,20; 20th
advehō –ere –vexī –vectus,to carry or convey to
aliēnus –a –um,"strange, unrelated, another's"
alō alere aluī altus,to nourish
careō carēre caruī caritus,to be without
colloquium colloquiī n.,conversation
colloquor colloquī collocūtus sum,"to converse, hold a discussion"
crās,tomorrow
cūnae –ārum f.,cradle
cūrō cūrāre cūrāvī cūrātus,to care for
dēbeō dēbēre dēbuī dēbitus,to owe; ought
decet decēre decuīt,"adorn, become, grace; (impers.) it is fitting (to)"
dīligō dīligere dīlēxī dīlēctus,to choose; love
fīliola –ae f.,a little daughter
for fārī fātus sum,"to speak, say"
ūmidus –a –um,"moist, damp"
īnfāns –antis,not capable of speech; an infant
lac lactis n.,milk
magis or mage,more
maneō manēre mānsī mānsus,to remain
minimē,"No!, not at all"
mox,soon; then
mulier mulieris f.,woman
necessārius –a –um,"necessary, essential"
nōlō nōlle nōluī,to be unwilling (+ inf.)
nūtrīx nūtrīcis f.,nurse
occurrō occurrere occurrī occursus,to run to meet; come to mind
officium offici(ī) n.,"service, duty"
parvulus –a –um,very small
pergō pergere perrēxī perrēctus,to proceed
postulō postulāre postulāvī postulātus,to demand
rārō (rārius rārissimē) ,"rarely, seldom"
revertor revertī reversus sum,to return
sermō sermōnis m.,conversation
silentium (silentum) silenti(ī) n.,silence
sileō silēre siluī,to be silent
somnus somnī m.,sleep
tata –ae m.,"papa, daddy"
vāgiō –īre,"to cry, squall, scream"
ūnā,together
