"PRINCIPAL PARTS","GLOSS"
"quādrāginta; quādrāgesimus –a –um","40; 40th"
"admīror admirārī admirātus sum","to admire, wonder"
"adōrō adōrāre adōrāvī adōrātus","to pray to, venerate"
"animus animī m.","spirit, mind"
"apprehendō apprehendere apprehendī apprehēnsum","to take hold of"
"attentus –a –um","attentive, frugal"
"caecus –a –um","blind"
"cessō cessāre cessāvī cessātus","to cease"
"claudus –a –um","limping, lame"
"cōnstāns cōnstantis","constant, steady"
"dictum dictī n.","word; saying"
"disiungō –ere –iūnxī –iūnctus","to disjoin"
"ēiciō ēicere ēiēcī ēiectus","to throw out, expel"
"eō","there, in that place; for that reason"
"ēvolvō –ere –volvī –volūtus","to roll out or forth"
"extendō –ere –tendī –tentus (–tēnsus)","to stretch forth; stretch"
"fāma fāmae f.","rumor, fame"
"immortālis immortālis immortāle","immortal"
"impendeō impendēre","to hang over"
"libellus libellī m.","little book, document"
"mālō mālle māluī","to prefer"
"memorō memorāre memorāvī memorātus","to remember"
"morior morī mortuus sum","to die"
"mortālis –e","mortal"
"mundus mundī m.","world, universe, heavens"
"mūtus –a –um","inarticulate, mute"
"nāscor nāscī nātus sum","to be born, come into being"
"nāvicula –ae f.","a small boat"
"oboediō (oboēdiō or obaudiō) –īre","to obey, serve"
"pecūlium –ī n.","property; money"
"pereō perīre periī peritūs","to perish"
"perīculōsus –a –um","dangerous"
"perīculum perīculī n.","danger"
"persuādeō persuādēre persuāsī persuāsus","to persuade"
"perveniō pervenīre pervēnī perventus","to reach, arrive at"
"phantasma –atis n.","apparition, spectre, phantom"
"potestās potestātis f.","power"
"potius","rather, more"
"praedō praedōnis m.","robber"
"prīnceps prīncipis m.","chief"
"rēgnō rēgnāre rēgnāvī rēgnātus","to rule"
"rogō rogāre rogāvī rogātus","to ask"
"salvō salvāre ","to save"
"salvus –a –um","safe, intact"
"serviō servīre servīvī servītus","to serve"
"spērō spērāre spērāvī spērātus","to hope"
"surdus –a –um","deaf"
"suscitō suscitāre suscitāvī suscitātus","to stir up"
"tībia tībiae f.","the larger of the shinbones; a pipe or flute"
"tībīcen –inis m.","piper, a performer on the tibia"
"tranquillitās –tātis f.","calmness"
"tumultuor tumultuārī tumultuātus sum","be in confusion"
"tūtus –a –um","safe"
"velut or velutī","just as"
"versor versārī versātus","to be involved"
"vigilia vigiliae f.","vigilance"
"vītō vītāre vītāvī vītātus","to avoid, shun"
"ūniversus –a –um","entire, all"
"vorāgō –inis f.","chasm"
"utrum","introduces the first question of a double direction question or Indirect Question"
