"PRINCIPAL PARTS","GLOSS"
"hic haec hoc","this, these"
"accēdō accēdere accessī accessum","to approach, be added, be included"
"admittō admittere admīsī admīssus","to send to, admit"
"anteā","before, formerly"
"arbitror arbitrārī arbitrātus sum","to judge, consider, think"
"aureus (aurātus) –a –um","golden"
"aurum aurī n.","gold"
"cardō –inis m.","hinge"
"catēna –ae f.","chain, fetter"
"caveō cavēre cāvī cautus","to beware"
"cēdō cēdere cessī cessum","to yield"
"custōdiō custōdīre custōdīvī custōdītus","to guard"
"dērīdeō –rīdēre –rīsī –rīsus","to make fun of; mock"
"extrā","outside, beyond"
"faber fabrī m.","craftsman, artisan"
"ferōx ferōcis","bold; wild"
"ferreus –a –um","made of iron"
"forās","out of doors"
"foris foris f.","door"
"fremō fremere fremuī","to roar"
"heus","hi! hey!"
"iānitor –ōris m.","door–keeper"
"imāgō imāginis f.","image, echo"
"intrā","within"
"iste ista istud","that"
"ligneus –a –um","wooden"
"līgnum lignī n.","firewood"
"līmen līminis n.","threshold"
"moneō monēre monuī monitus","to warn, advise"
"mordeō mordēre momordī morsus","to bite"
"ne","really, indeed"
"nūper","not long ago"
"pallium palli(ī) n.","cloak, coverlet"
"pellō pellere pepulī pulsus","to drive (off), strike"
"posteā","afterwards"
"pre(he)ndō –ere prendī prēnsum","to lay hold of, grasp, snatch"
"prius","earlier, preceding, before; in preference, to, rather"
"prōcēdō prōcēdere prōcessī prōcessus","to advance"
"profectō","surely"
"quīn","introduces Relative Clause of Characteristic, Doubting clause, Prevention clause"
"recēdō recēdere recessī recessum","to withdraw"
"removeō removēre removī remōtus","to move back"
"resistō resistere restitī","to stand still, oppose"
"retineō retinēre retinuī retentus","to hold back"
"rogitō rogitāre rogitāvī rogitātus","to ask frequently"
"rumpō rumpere rūpī ruptus","to break"
"saliō salīre saluī saltus","to leap"
"scīlicet","certainly"
"scindō scindere scidī scissum","to cut, rend, tear asunder"
"sīcut or sīcutī","just as, in as much as"
"sinō sinere sīvī situs","to allow"
"solvō solvere solvī solūtus","to release, pay"
"tabellārius tabellāriī m.","messenger"
"tandem","finally"
"terreō terrēre terruī territus","to terrify"
"tremō tremere tremuī","to tremble"
"vinciō vincīre vīnxī vīnctum","to tie up"
"ultrā","beyond (adv. and prep. +acc.)"
