"PRINCIPAL PARTS","GLOSS"
"aberrō –āre","to go astray"
"accidō accidere accidī –––","to fall; happen"
"ars artis f.","skill, talent"
"audāx audācis","bold; reckless"
"carcer carceris m.","jail"
"cāsus cāsūs m.","fall, chance"
"cautus –a –um","cautious, careful, prudent"
"celer celeris celere","swift"
"cōnficiō cōnficere cōnfēcī cōnfectus","to finish"
"cōnsequor cōnsequī cōnsecūtus sum","to overtake, attain"
"cōnsilium cōnsiliī n.","plan; council"
"cōnsūmō cōnsūmere cōnsūmpsī cōnsūmptus","to use up, consume"
"deorsum or deorsus","downwards, down"
"dēspiciō –ere –spēxī –spectum","to look down upon, despise"
"effugiō effugere effūgī","to flee, escape"
"ēvolō ēvolāre ēvolāvī ēvolātus","to fly away"
"excōgitō –āre –āvī –ātus","to devise"
"fīgō fīgere fīxī fīxus","to fix, fasten"
"fuga fugae f.","flight, escape"
"haud or haut","not at all, by no means"
"ignis ignis m.","fire"
"imitor imitārī imitātus sum","to imitate"
"īnfimus –a –um","lowest"
"ingēns ingentis","huge"
"inveniō invenīre invēnī inventus","to find, discover"
"iuvō iuvāre iūvī iūtus","to help; please"
"lacertus –ī m.","the arm, esp. the upper arm"
"levō levāre levāvī levātus","to raise; make light"
"līber lībera līberum","free"
"lībertās lībertātis f.","freedom"
"maximē","most greatly"
"mōlior mōlīrī mōlītus","to work at, devise"
"multitūdō multitūdinis f.","multitude, number"
"nātūra nātūrae f.","nature"
"orbis orbis m.","circle, orb"
"paene","almost"
"paenīnsula –ae f.","a peninsula"
"penna pennae f.","wing, feather"
"perficiō perficere perfēcī perfectus","to complete, accomplish"
"persequor persequī persecūtus sum","to pursue"
"propinquus –a –um","near, related"
"quatiō quatere quassī quassum","to shake"
"quidem","moreover"
"quisquam quicquam","someone, anyone"
"quoniam","since"
"reliquus –a –um","remaining"
"revocō revocāre revocāvī revocātus","to call back"
"sīn","but if"
"studiōsus –a –um","eager"
"summus –a –um","highest"
"sūrsum or sūsum or sūrsus","from below, up, upwards, on high"
"suspiciō suspicere suspexī suspectus","to take up; recognize; accept"
"tamquam","just as"
"temerārius –a –um","accidental; thoughtless, impetuous"
"trāns","across"
"vērum","but indeed"
"ūrō ūrere ussī ustum","to burn"
