PRINCIPAL_PARTS,SHORT_DEFINITION
ā ab abs,"from, by"
agō agere ēgī āctus,"to drive, do, act, concern oneself with"
amō amāre amāvī amātus,to love
aqua aquae f.,water
ātrium –ī n.,"atrium, court"
carpō carpere carpsī carptum,"to pluck, seize; criticize"
cubiculum –ī n.,bedroom
cum,with (prep. +abl.)
dēlectō dēlectāre dēlectāvī dēlectātus,"to divert, attract, delight"
etiam,also
ē ex,"out of, from"
fenestra –ae f.,window
foedus –a –um,foul
habitō habitāre habitāvī habitātus,to inhabit
hortus hortī m.,garden
impluvium –ī n.,a small court open to the sky
līlium –iī n.,lily
nāsus nāsī m. or nāsum nāsī n.,nose
ōstium ōsti(ī) n.,door
peristȳlum –ī n.,peristyle
pulcher pulchra pulchrum,beautiful
quid,what; why
rosa rosae f.,rose
sine,without (+abl.)
sōlus –a –um,"alone, only"
vīlla vīllae f.,estate
