PRINCIPAL_PARTS,SHORT_DEFINITION
quattuor; quārtus –a –um,4; 4th
abeō abīre abiī abitum,to go away
accipiō accipere accēpī acceptus,to receive
alius alia aliud (archaic: alis alid),"other, another"
ānulus –ī m.,ring
aspiciō aspicere aspēxī aspectus,to look at
aut; aut…aut,"or, either...or"
clāmō clāmāre clāmāvī clāmātus,"to call, shout"
collum collī n.,neck
cōnsistō cōnsistere cōnstitī cōnstitus,"to take position; , halt, stand"
cōnstō cōnstāre cōnstitī cōnstātus,"to agree, remain unchanged, stand firm"
conveniō convenīre convēnī conventus,to assemble; agree
digitus digitī m.,finger
emō emere ēmī ēmptus,to buy
gemma –ae f.,"jewel, gem"
gemmātus –a –um,"set with precious stones, bejeweled"
ille illa illud,that
līnea (līnia) –ae f.,a string
margarīta –ae f. or margarītum –ī n. ,a pearl
medius –a –um,"middle, in the middle, in half"
mōnstrō mōnstrāre mōnstrāvī mōnstrātus,"to show, point out"
nimis,very much
nōnāgintā; nōnāgēsimus –a –um,"90, 90th"
ōrnāmentum –ī n.,equipment
ōrnō ōrnāre ōrnāvī ōrnātus,"to equip, decorate"
ostendō ostendere ostendī,to show
pecūniōsus –a –um,wealthy
pretium pretiī n.,"price, value, payment"
quantus –a –um,how great
satis or sat (comp. satius),enough
sestertius –a –um,"a sesterce, a small silver coin, originally equal to two and a half asses; often abbreviated HS"
taberna tabernae f.,"shop, hut"
tabernārius –ī m.,a shop-keeper
tantus –a –um,"so much, so great"
vendō vendere vendidī venditus,to sell
vīgintī; vīcēsimus –a –um,20; 20th
