PRINCIPAL_PARTS,SHORT_DEFINITION
adeō adīre adīvī/adiī aditus,to go to
adveniō advenīre advēnī adventus,to arrive
aperiō aperīre aperuī apertus,to open
claudō (clūdō or clodō) claudere clausī clausus ,to close
currō currere cucurrī cursus,to run
dō dare dedī datus,to give
exeō exīre exīvī/exiī exitus,to go forth
exspectō exspectāre exspectāvī exspectātus,"to wait for, expect"
fōrmōsus (fōrmonsus) –a –um,beautiful
hic haec hoc,"this, these"
illīc or illī,there
immō,no indeed
īnsum inesse īnfuī,to be in
lacrima lacrimae f.,tear
lacrimō lacrimāre lacrimāvī lacrimātus or lacrimor –ārī –ātus sum,"to cry, weep"
mālum mālī n.,apple
nōnne,"introduces a direct question expecting the answer ""yes"""
oculus oculī m.,eye
ōsculum –ī n.,kiss
ōstiārius –ī m.,"a door-keeper, porter "
pirum (pyrum) –ī n. ,a pear
plēnus –a –um,full
sōlum,only
speculum –ī n.,mirror
suī sibi sē sē,"himself, herself, itself (reflexive)"
teneō tenēre tenuī tentus,to hold
tergeō –ēre –tersī –tersus or tergō tergere,to wipe; clean
vertō vertere vertī versus,to turn
