"PRINCIPAL PARTS","GLOSS"
"āiō","to say, affirm, say yes"
"aliquis aliquid and aliquī aliqua aliquod","someone, something; some, any"
"angustus –a –um","narrow"
"bōs bovis m.","ox"
"candidus –a –um","shining white, clear, bright"
"causa causae f.","cause, reason, lawsuit"
"cognōscō cognōscere cognōvī cognitus","to learn, understand, inquire"
"cōnspiciō cōnspicere cōnspexī cōnspectus","to catch sight of, behold"
"cornū cornūs n.","horn"
"crēdō crēdere crēdidī crēditus","to trust, believe"
"cruor cruōris m.","blood, bloodshed"
"dubitō dubitāre dubitāvī dubitātus","to hesitate, doubt"
"excūsō excūsāre excūsāvī excūsātus","to excuse"
"fallō fallere fefellī falsus","to deceive"
"falsus –a –um","deceptive, false"
"genū (genus) genūs n.","knee"
"humus humī f.","ground"
"indīgnus –a –um","unworthy (of)"
"interim","meanwhile"
"mentior mentīrī mentītus","to lie"
"mundus –a –um","clean, neat, elegant"
"mūtō mūtāre mūtāvī mūtātus","to change"
"narrō –āre –āvī –ātum","to tell, report, recount"
"porcus porcī m.","pig"
"postquam","after"
"pugna pugnae f.","battle, fight"
"solum –ī n.","bottom, native territory"
"sordēs –is f.","filth; greed"
"tabella tabellae f.","tablet"
"validus –a –um","strong"
"vērē","truly"
"vestis vestis f.","clothing"
"vincō vincere vīcī victus","to conquer"
