PRINCIPAL_PARTS,SHORT_DEFINITION
duō duae duo,2
et,and
exemplum exemplī n.,"sample, example"
fluvius (fluvidus) fluvi(ī) m.,river
imperium imperiī n.,"command, power"
in,"in, on"
īnsula īnsulae f.,island; apartment block
littera litterae f.,letter (of the alphabet)
māgnus –a –um,great
mīlle; mīllēsimus –a –um,"1000, 1000th"
multus –a –um,"much, many"
–ne,(added to the first word of a question)
nōn,not
num,whether
numerus numerī m.,"number, amount"
ōceanus –ī m.,the ocean
oppidum oppidī n.,town
parvus –a –um / minor –us / minimus –a –um,small
paucus –a –um,(pl.) a few; (sing.) small
pensum –ī n.,"wool, allotment"
prīmus –a –um,first
prōvincia prōvinciae f.,province
quis quid,"who, what"
quoque,also
secundus –a –um,"following, second"
sed,but
sum esse fuī futūrus,to be
tertius –a –um,3rd
trēs tria,3
ubī,"where, when"
ūnus –a –um,1
