PRINCIPAL_PARTS,SHORT_DEFINITION
claudō (clūdō or clodō) claudere clausī clausus ,to close
adhūc,"thus far, to this point, still"
afferō afferre attulī allātus,to bring to
alter altera alterum,other of two
an,"or, whether, if"
apertus –a –um,"uncovered, open, public"
calceus –ī m.,shoe
cubō cubāre cubuī cubitum,"to lie down, recline"
deinde or dein,"then, next"
dexter dextra dextrum,"right, on the right side"
excitō excitāre excitāvī excitātus,"to stir up, arouse, put into motion"
frīgeō –ēre frīxī,to be cold
gallus –ī m.,"a rooster, cock"
gerō gerere gessī gestus,"to bear, manage"
hodiē,today
induō induere induī indūtus,"to put on, clothe"
inquam inquis inquit inquiunt,to say
lavō lavāre (lavere) lāvī lōtus (lautus),to wash
mergō –ere mersī mersus,to dip
multum,"much, a lot"
neuter neutra neutrum,neither
nihil or nīl or nihilo n.,nothing
nūdus –a –um,"nude, bare"
omnis omne,every; all
parēns parentis m. or f.,parent
poscō poscere poposcī,to demand
praeter,"so as to pass by, past; beyond; except"
prīmum,first
pūrus –a –um,pure
quōmodō or separately quō modō,how
rēgula –ae f.,basic principle
rēs reī f.,"matter, business, affair, thing"
sinister –a –um,left
soleō solēre solitus sum,to be accustomed
sordidus –a –um,"dirty, sordid"
stilus stilus –ī m.,a pointed instrument
surgō surgere surrēxī surrēctus,to rise
tabula tabulae f.,"plank, (game) board; painting; writing tablet"
toga togae f.,toga
togātus –a –um,wearing the toga
tunica tunicae f.,tunic
valeō valēre valuī valitus,"to be strong, be worth"
vestīmentum –ī n.,"garment, clothes (pl.)"
vestiō vestīre vestiī/vestīvī vestītum,to clothe
vigilō vigilāre vigilāvī vigilātus,to be awake
uter utra utrum,either which (of two)
uterque utraque utrumque,each of two
