PRINCIPAL_PARTS,SHORT_DEFINITION
parvus –a –um / minor –us / minimus –a –um,small
adulēscēns adulēscentis,"young, growing; young person"
amāns –antis,"loving, fond; (subst.) a lover"
amor amōris m.,love
augeō augēre auxī auctus,to increase
beātus –a –um,"happy, blessed"
columna –ae f.,column
coniūnx coniugis f.,spouse
cotīdiē or cottīdiē or quotidiē,"every day, daily"
dea deae f.,goddess
dīgnus –a –um,worthy
dīves dīvitis,rich; as substantive rich man
domus domī f.,"house, home"
dōnum dōnī n.,gift
ergā,towards
flōs flōris m.,flower
forum forī n.,forum
gracilis gracile,thin
magnificus –a –um,"grand, splendid, magnificent"
maior māius,bigger
marītus marītī m.,husband
mātrōna –ae f.,matron
māximus –a –um,"greatest; maxime: most, especially, very much"
melior melius,better
minimus –a –um,"least, smallest"
minuō minuere minuī minūtus,to lessen
minus,less
miser misera miserum,"wretched, pitiable"
mittō mittere mīsī missus,"to send; release, let go"
optimus –a –um,"best, excellent"
opus operis n.,work; need
ōsculor ōsculārī,to kiss
pauper pauperis,poor; humble
peior peius,worse
pessimus –a –um,worst
plūrimus –a –um,very many
plūs plūris n.; plūrimum,"more, most"
possideō –ēre –sēdī –sessus,"to hold, possess"
praesēns –ntis,present
praeteritus –a –um,past
pulchritūdō –inis f. ,beauty
remittō remittere remīsī remissum,to send back
signum signī n.,"mark, impression, sign"
tamen,"nevertheless, however"
tēctum –ī n.,roof
templum templī n.,temple
virgō virginis f.,maiden
ūllus –a –um,any
uxor uxōris f.,wife
