"PRINCIPAL PARTS","GLOSS"
"ōs ōris n.","mouth, face"
"aegrotus –a –um","diseased"
"aliquis aliquid and aliquī aliqua aliquod","someone, something; some, any"
"aliter","otherwise, differently"
"certō or certē (certius)","without doubt, certainly"
"cēterum","otherwise"
"continuō","immediately, continuously"
"convertō –ere –vertī","to turn round, cause to turn, turn back"
"cruentus –a –um","bloody, blood–stained"
"cupiō cupere cupiī/cupīvī cupītus","to desire"
"dēnuō","a second time, again"
"dolor dolōris m.","pain, grief"
"etsī","although"
"fleō flēre flēvī flētus","to cry"
"frangō frangere frēgī frāctus","to break, shatter"
"īgnōrō īgnōrāre īgnōrāvī īgnōrātus","to not know; ignore"
"impār –aris","unequal, in unequal combat"
"intus","within, inside"
"iūxtā","near, close"
"laevus –a –um","left, on the left side"
"latus latēris n.","side, flank, strength"
"mīror mīrārī mīrātus sum","to wonder, be astonished"
"nōscō nōscere nōvī nōtus","to learn, know"
"pār paris","equal, like (+dat.)"
"patior patī passus sum","to permit, endure"
"percutiō percutere percussī percussum","to strike, kill"
"prīmō (prīmīs)","at first"
"recumbō –ere –cubuī","to lie down again; sink down"
"sonus sonī m.","sound"
"strepitus –ūs m.","noise; an uproar; din"
"subitō","suddenly"
"subitus –a –um","having come up suddenly; unexpected"
"tumultus tumultūs (tumultī) m.","confusion"
"valdē (valdius valdissimē)","intensely"
