PRINCIPAL_PARTS,SHORT_DEFINITION
ac,and in addition
altus –a –um,"tall, high; deep"
arcus arcūs m.,"bow, arch"
arma armōrum n.,"arms, weapons"
armātus –a –um,armed
avunculus avunculī m.,maternal uncle
barbarus –a –um,"foreign, barbarous, savage"
bellum (duellum) bellī n.,war
brevis breve,"short, brief"
castra castrōrum n. (rarely –ae f.),camp
cōgnōmen cōgnōminis n.,surname
contrā,"against, opposite (adv. and prep. +acc.)"
dēfendō dēfendere dēfendī dēfensus,"to defend, ward off"
dīvidō dīvidere dīvīsī dīvīsus,"to divide, separate"
dux ducis m. or f.,"leader, general"
eques equitis m.,horseman
equitātus equitātūs m.,cavalry
exercitus exercitūs m.,army
expūgnō expaugnāre expūgnāvī expūgnātus,"to assault, capture"
ferō ferre tulī lātus,"to bear, carry, report"
fīnis fīnis m.,"end, boundary"
fortis forte,brave; strong
fossa –ae f.,ditch
frāter frātris m.,brother
fugiō fugere fūgī fugitus,"to flee, escape"
gladius gladiī m. or gladium –iī n.,sword
gravis grave,heavy
hasta hastae f.,spear
hostis hostis m.,(public) enemy
iaciō iacere iēcī iactus,to throw
impetus impetūs m.,attack
incolō incolere incoluī,"to inhabit, dwell"
lātus –a –um,"broad, wide"
levis –e,"light, trivial"
metuō metuere metuī,"to fear, dread"
metus metūs m.,"fear, dread, anxiety"
mīles mīlitis m.,soldier
mīlitō mīlitāre mīlitāvī mīlitātus,to serve as a soldier
nōmen nōminis n.,name
oppugnō oppugnāre oppugnāvī oppugnātus,to attack
pars partis f.,"part, portion"
passus passūs m.,"pace, footstep"
patria patriae f.,country
pedes peditis m.,foot soldier
pīlum –ī n.,javelin
praenōmen –inis n.,a Roman personal name
pugnō pugnāre pugnāvī pugnātum,to fight
pūgnus –ī m.,fist
sagitta sagittae f.,arrow
scūtum scūtī n.,shield
soror sorōris f.,sister
trīstis trīste,sad
vallum vallī n.,fortification
versus versūs m.,line (of poetry)
vester vestra vestrum,your
