PRINCIPAL_PARTS,SHORT_DEFINITION
centum; centēsimus –a –um,100; 100th
absēns absentis,"absent, distant"
aequē,equally
ās assis m.,copper coin
certus –a –um,"sure, fixed"
cōgitō cōgitāre cōgitāvī cōgitātus,to think
com–putō –āre,"to sum up, reckon, compute"
dēmōnstrō dēmōnstrāre dēmōnstrāvī dēmōnstrātus,"to indicate, show clearly"
dēnārius –iī m.,a Roman silver coin
difficilis difficile,difficult
discō discere didicī,to learn
doceō docēre docuī doctus,to teach
doctus –a –um,"taught, learned, skilled"
duodēvīgenti; duodēvīcēsimus –a –um,18; 18th
facilis facile,easy
incertus –a –um,uncertain
indoctus –a –um,"untaught, ignorant"
industrius –a –um,industrious
interpellō –āre ,to interrupt
largior –īrī –ītus sum,to give largely; bestow
largus –a –um,ample
laudō laudāre laudāvī laudātus,to praise
nesciō nescīre nescīvī/nesciī nescītus,to not know
nōngentī –ae –a; nongentēsimus –a –um,"900, 900th"
numquam,never
octingentī –ae –a; octingentēsimus –a –um,"800, 800th"
oportet oportēre oportuit,to it is proper/right
partior partīrī partītus sum,"to divide, share"
piger pigra pigrum,lazy
postrēmō,"finally, lastly"
prāvus –a –um,crooked
prōmō –ere –prōmpsī –prōmptus,to take
prūdēns –entis,"aware, acting deliberately; prudent"
quādrāginta; quādrāgesimus –a –um,40; 40th
quadri(n)gentī –ae –a; quādrāgentesimus –a –um,400; 400th
quamquam,although
quārē,why; therefore
quattuordecim quārtus –a –um decimus –a –um,"14, 14th"
quīndecim; quintus –a –um decimus –a –um,15; 15th
quīngentī –ae –a; quīngentēsimus –a –um,500; 500th
quīnquāgintā; quīnquāgēsimus –a –um,50; 50th
quisque quidque/quīcque,"each, every"
rectē (rectius rectissimē),rightly
rēctus –a –um,"straight, direct"
repōnō repōnere reposuī repositus,to put back
reprehendō reprehendere reprehendī reprehēnsus,to seize
rēspōnsum –ī n. or rēsponsus –ūs m.,"an answer, response"
saepe,often
sciō scīre scīvī/sciī scītus,to know
sēdecim,16
septendecim,17
septingentī –ae –a; septingentēsimus –a –um,700; 700th
septuāgintā; septuāgēsimus –a –um,70; 70th
sescentī –ae –a; sescentēsimus –a –um,600; 600th
tollō tollere sustulī sublātus,to raise; destroy
tot,so many
trēdecim; tertius –a –um decimus –a –um,"13, 13th"
undēvīgintī; undēvīcēsimus –a –um,"19, 19th"
ūsque,continuously
