PRINCIPAL_PARTS,SHORT_DEFINITION
audiō audīre audīvī audītus,to hear
cantō cantāre cantāvī cantātus,"to sing, play"
cūr,why
dormiō dormīre dormīvī dormītum,to sleep
egō meī mihi mē mē,"I, me"
hīc,here
iam,now; already
improbus –a –um,bad
interrogō interrogāre interrogāvī interrogātus,"to inquire, ask of"
īrātus –a –um,angry
is ea id,"he, she it; that"
laetus –a –um,happy
mamma –ae f.,"the breast, ""momma"""
neque or nec,and not; neither … nor …
ō,O
persōna persōnae f.,an actor’s mask; role
plōrō,"to lament, mourn"
probus –a –um,good
pulsō pulsāre pulsāvī pulsātus,to hit
quī quae quod,"who, which"
quia,because
respondeō respondēre respondī respōnsus,to answer
rīdeō rīdēre rīsī rīsus,to laugh
scaena scaenae f.,"stage, piece of theatrical behavior; scene"
tū tuī tibi tē tē,you
veniō venīre vēnī ventum,to come
verberō verberāre verberāvī verberātus,"to whip, flog, beat"
verbum verbī n.,word
videō vidēre vīdī vīsus,to see
vocō vocāre vocāvī vocātus,to call
