"PRINCIPAL PARTS","GLOSS"
"abiciō abicere abiēcī abiectum","to throw down/away"
"abstineō abstinēre abstinuī abstentus","to hold back, keep away from"
"adiciō adicere adiēcī adiectus","to throw to"
"aestimō aestimāre aestimāvī aestimātus","to appraise"
"afficiō afficere affēcī affectus","to affect, visit with"
"alliciō (adl–) –allicere –allēxī –allectum","to attract"
"āmittō āmittere āmīsī āmīssus","to send away, lose"
"appāreō apparēre apparuī apparitus","to appear, become visible"
"appropinquō appropinquāre appropinquavī","to approach, draw near"
"beneficium beneficī(ī) n.","service, kindness"
"cantus –ūs m.","singing or playing; melody; song"
"carmen carminis n.","song, poem"
"celsus –a –um","high, lofty"
"cōnfiteor cōnfitērī cōnfessus sum","to confess"
"delphīnus –ī m. (acc. Delphīnās) or delphīn –īnis m.","dolphin"
"dēsiliō –īre –uī –sultus","to leap or spring down; alight from"
"dēspērō dēspērāre dēspērāvī dēspērātus","to despair"
"dēterreō dēterrēre dēterruī dēterritus","to deter, prevent"
"dētrahō –ere –trāxī –tractum","to take away from"
"dīvitia dīvitiae f.","riches, wealth"
"dōnō dōnāre dōnāvī dōnātus","to give; concede"
"dorsum –ī n.","the back"
"ēripiō ēripere ēripuī ēreptus","to tear away, snatch away"
"expōnō expōnere exposuī expositus","to abandon"
"fallax –ācis","deceitful, treacherous, false"
"fēlīcitās –ātis f.","fertility, happiness"
"fēlīx fēlīcis","fortunate"
"fidicen fidicinis m.","a lute player, minstrel"
"fīniō fīnīre fīnīvī fīnītus","to finish, limit"
"fortūna fortūnae f.","fortune, chance"
"frūstrā","in vain"
"fundus fundī m.","foundation"
"fūr fūris m.","thief"
"fūrtum fūrtī n.","theft"
"heu","alas! oh!"
"iactūra –ae f.","loss (of stature/prestige); sacrifice"
"ignārus –a –um","ignorant"
"īgnōtus –a –um","unknown"
"inde","from there, from then"
"invideō invidēre invīdī invīsus","to envy (+ dat.)"
"invidia invidiae f.","envy, jealousy"
"laetitia laetitiae f.","joy, happiness"
"lucrum lucrī n.","gain, profit"
"maestus –a –um","sad, depressing"
"maleficium –ī n.","crime, wicked deed"
"mīrus –a –um","marvelous, wonderful"
"nāvigātiō –ōnis f.","voyage"
"nōbilis nōbile","illustrious, famous"
"nōnnūllus –a –um","some unknown"
"nōnnumquam","sometimes"
"nōtus –a –um","well–known"
"parcō parcere pepercī parsus","to spare (+ dat.)"
"permittō permittere permīsī permissus","to permit"
"permoveō permovēre permōvī permōtus","to influence"
"perturbō perturbāre perturbāvī perturbātus","to confuse"
"piscātor –ōris m.","fisherman"
"precor precārī precātus sum","to beg, pray"
"pretiōsus –a –um ","expensive, costly, precious "
"prōtinus or prōtenus","at once"
"quasi","as if"
"queror querī questus sum","to complain"
"rapidus –a –um","swift"
"recognōscō recognōscere recognōvī recognitus","to examine"
"redūcō redūcere redūxī reductus","to bring back"
"remaneō remanēre remānsī remānsus","to stay behind"
"rēmus rēmī m.","oar"
"repente or repens","suddenly"
"secō secāre secuī sectum","to cut"
"spēs speī f.","hope"
"stupeō –ēre –uī","to be amazed or dazed; to be bewildered"
"suādeō suādēre suāsī suāsus","to recommend"
"subeō subīre subīvī/subiī subitus","to go under"
"surripiō surripere surripuī surreptum","to steal"
"trīstitia –ae or trīstitiēs –eī f. ","sorrow"
"tyrannus tyrannī m.","tyrant"
"vēlōx –ōcis","fast"
"vīta vītae f.","life"
