PRINCIPAL_PARTS,SHORT_DEFINITION
ancilla –ae f.,female enslaved person
antīquus –a –um,"ancient, old"
centum; centēsimus –a –um,100; 100th
cēterus –a –um; often pl. cēterī –ae –a,the other; the rest
dominus dominī m.,master
ecce,behold!
familia familiae f.,"household, family"
fēmina fēminae f.,"woman, wife"
fīlia fīliae f.,daughter
fīlius fīliī m.,son
liber librī m.,book
līberī līberōrum m. pl.,children
māter mātris f.,mother
meus –a –um,"my, mine"
novus –a –um,new
pāgina –ae f.,page
pater patris m.,father; (in pl.) Patricians; Senators
puella puellae f.,girl
puer puerī m.,"boy, slave"
–que,and
quot,"how many , as many as (indeclinable)"
servus servī m.,enslaved person
titulus – ī m. (–um n.),"title, label, claim to fame"
tuus –a –um,your
vir virī m.,man
