"PRINCIPAL PARTS","GLOSS"
"quisquam quicquam","someone, anyone"
"trīgintā; trīcēsimus or trīcēnsimus –a –um","30; 30th"
"ager agrī m.","field"
"agricola agricolae m.","farmer"
"amoenus –a –um","charming"
"arātor –ōris m.","ploughman"
"arātrum –ī n","plough"
"arō arāre arāvī arātus","to plough"
"calor –ōris m.","warmth"
"cēnseō cēnsēre cēnsuī cēnsus","to assess"
"cingō cingere cīnxī cīnctus","to surround"
"circā","around (adv. and prep. +acc.)"
"colō colere coluī cultus","to inhabit, cultivate"
"colōnus colōnī m.","farmer, colonist"
"cōpia cōpiae f.","abundance; troops"
"crēscō crēscere crēvī crētus","to grow, increase"
"cūra cūrae f.","care, concern"
"dēnique","finally"
"exīstimō exīstimāre exīstimāvī exīstimātus","to think, believe"
"falx falcis f.","scythe, sickle"
"fertilis –e","productive, fertile"
"frīgus frīgoris n.","cold"
"frūmentum frūmentī n.","grain; crops"
"frūx frūgis f.","fruit"
"gravidus –a –um","heavy"
"grex gregis m.","herd, flock"
"immātūrus –a –um","untimely"
"inhūmānus –a –um","rude, savage, brutal"
"instrūmentum –ī n.","tool, furniture"
"invehō –ere –vexī –vectus","to carry into or forward; (pass.)"
"labor labōris m.","work"
"labōrō labōrāre labōrāvī labōrātum","to work"
"lāna –ae f.","wool"
"mātūrus –a –um","mature"
"mēto mētāre ––– mētatum","to measure"
"neglegēns neglegentis","careless"
"neglegō neglegere neglēxī neglēctus","to disregard, neglect"
"negōtium negōti(ī) n.","business"
"nēquam; comp. nequior","worthless, good for nothing"
"neu or neve","or not, and not, nor, neither"
"noceō nocēre nocuī nocitus","to harm"
"orō orāre orāvī orātus","to pray, plead"
"ōtium –iī n.","leisure"
"pābulum –ī n.","feeding material; food"
"parum; minus; minimē","too little"
"pāscō pāscere pāvī pāstum","to feed"
"patiens –ntis","long–suffering, patient; hardy"
"patientia patientiae f.","endurance"
"pecus pecoris n.","farm animals, herd"
"prae","before (+ abl.), in the face of, in view of"
"praedium praedi(ī) n.","estate"
"prex precis f.","prayer"
"prō","on behalf of, for, instead of, in accordance with (+ abl.)"
"prohibeō prohibēre prohibuī prohibitus","to prevent"
"prōiciō –icere iēcī –iectum","to cast forth, throw out, fling to the ground"
"prōsum prōdesse prōfuī prōfutūrus","to be useful"
"quīdam quaedam quiddam","a certain person/thing"
"quiēscō quiēscere quiēvī quiētus","to sleep, keep quiet"
"rapiō rapere rapuī raptus","to seize, carry off"
"regiō regiōnis f.","region"
"rigō rigāre rigāvī rigātus","to moisten"
"rudis –e","uncultivated"
"rūs rūris n.","country"
"rūsticus –a –um","rural"
"sēmen sēminis n.","seed"
"serō serere sēvī satum","to plant"
"siccus –a –um","dry"
"spargō spargere sparsī sparsum","to scatter"
"suburbānus –a –um","located close to the city"
"ve","or (postpositive enclitic)"
"vīnea –ae f.","grapevines"
"vīnum vīnī n. or vīnus vīnī m.","wine"
"vītis –is f.","vine, grapevine"
"urbānus –a –um","urban, urbane, suave, witty"
"ūtor ūtī ūsus sum","to use"
"ūva –ae f.","grape"
