PRINCIPAL_PARTS,SHORT_DEFINITION
quīnque; quīntus –a –um,5; 5th
septem; septimus –a –um,7; 7th
absum abesse āfuī āfutūrus,"to be away, be absent"
accūsō accūsāre accūsāvī accūsātus,to accuse
adsum adesse adfuī adfutūrus,to be present
baculum –ī n. or bacilus –ī m.,stick
bonus –a –um,good
decem; decimus –a –um,10; 10th
discēdō discēdere discessī discessum,"to go away, depart"
habeō habēre habuī habitus,"to have, hold"
imperō imperāre imperāvī imperātus,"to command, control"
mēnsa mēnsae f.,table
novem; nōnus –a –um,"9, 9th"
nūllus –a –um,"not any, no"
numerō numerāre numerāvī numerātus,to count
nummus –ī m.,"coin, money"
octō; octāvus –a –um,8; 8th
pāreō pārēre pāruī pāritus,"to obey, appear, be present"
pecūnia pecūniae f.,money
pōnō pōnere posuī positus,to place
quattuor; quārtus –a –um,4; 4th
rūrsus or rūrsum ,back
sacculus sacculī m.,small bag
salveō –ēre,to be well; imperative
salūtō salūtāre salūtāvī salūtātus,to greet
sūmō sūmere sūmpsī sūmptus,"to take up, consume"
suus –a –um,his/her/its own
taceō tacēre tacuī tacitus,to be silent
tantum,only
vacuus –a –um,empty
