PRINCIPAL_PARTS,SHORT_DEFINITION
decem; decimus –a –um,10; 10th
addō addere addidī additus,to give to
animadvertō animadvertere animadvertī animadversus,"to turn to, give mind to"
apis apis f.,bee
bēstiola –ae f.,a small animal
bis,twice
calamus –ī m.,reed or cane; an arrow
cēra –ae f.,wax
certō or certē (certius),"without doubt, certainly"
charta chartae f.,papyrus
comparō comparāre comparāvī comparātus,"to provide, compare"
coniungō coniungere coniūnxī coniūnctus,to join together
corrigō corrigere corrēxī corrēctus,"to put right, reform"
dēleō dēlēre dēlēvī dēlētus,to destroy
dēsum deesse defuī,to be lacking
dictō –āre,"to say often, declare"
dūrus –a –um,"hard, harsh"
"efficiō efficere effēcī effectus (efficatus, rarely)","carry out, accomplish"
epistula epistulae f.,letter
exaudiō exaudīre exaudīvī exaudītus,to hear
ferrum ferrī n.,iron
frequēns frequentis,often
erus –ī m.,"an owner, master"
īdem eadem idem,same
impiger –gra –grum,"not sluggish, not inactive"
intellegō intellegere intellēxī intellēctus,to understand
ita,"in this way, so"
iungō iungere iūnxī iūnctus,to join
legō legere lēgī lēctus,"to choose, collect; read"
māteria māteriae f.,material
mendum –ī n.,"an error, blunder"
mercēs mercēdis f.,"pay, wages; article for sale, commodity"
mollis molle,"yielding, gentle"
papȳrus –ī f.,papyrus
premō premere pressī pressus,to press
quālis quāle,what sort
quater,4 times
quīnquiē(n)s,5 times
quotiēns or quotiēs,how many times; whenever
rārus –a –um,"loose, thin"
scrībō scrībere scrīpsī scrīptus,to write
semel,once
sententia sententiae f.,opinion
sexies,6 times
sīc,"so, in this way"
significō significāre significāvī significātus,to indicate
signō signāre signāvī signātus,to mark
supersum superesse superfuī superfutūrus,to be left over
tālis tāle,such
ter,3 times
totiēns,so often
turpis turpe,ugly
varius –a –um,varied
Zephyrus –ī m.,Zephyr (name); or west wind
