PRINCIPAL_PARTS,SHORT_DEFINITION
ad,"to, up to, towards"
ambulō ambulāre ambulāvī ambulātum,to walk
amīcus –a –um,friendly (+dat.)
ante,"before, in front of (adv. and prep. +acc.)"
apud,"near, in the presence of"
autem,however; moreover
circum or circa,around
duodecim; duodecimus –a –um,12; 12th
eō īre iī/īvī itum,to go
equus equī m.,horse
fessus –a –um,tired
umerus umerī m.,"the upper arm, shoulder"
inimīcus –a –um,"unfriendly, hostile"
inter,"between, among; during"
intrō intrāre intrāvī intrātus,to enter
itaque,and so therefore
lectīca –ae f.,sedan chair
longus –a –um,"long, far"
malus –a –um,"bad, evil"
mūrus mūrī m.,wall
nam,for
per,through
porta portae f.,gate
portō portāre portāvī portātus,to carry a load
post,after (adv. and prep. +acc.)
procul,at a distance
prope propius proximē,near (prep. + acc.)
quam,"than; as, how"
quō,"where; to what purpose, in order that"
saccus saccī m.,wallet
sex; sextus –a –um,6; 6th
tam,so
timeō timēre timuī,to fear
vehō vehere vēxī vectus,to carry
via viae f.,street
unde,"from where, whence"
