"PRINCIPAL PARTS","GLOSS"
"exeō exīre exīvī/exiī exitus","to go forth"
"aedificium –ī n.","building structure"
"aedificō aedificāre aedificāvī aedificātus","to build, erect, establish"
"agnus agnī m.","lamb (male)"
"auxilium auxilī n.","aid, help"
"brevī","soon"
"cīvis cīvis m. or f.","citizen"
"coepī coepisse coeptum","to begin"
"complūrēs complūrium","several, a fair number, quite a number"
"cōnspectus conspectūs m.","look, sight, view"
"cōnstituō cōnstituere cōnstituī cōnstitūtus","to establish; decide"
"cupiditās cupiditātis f.","eager desire"
"cupidus –a –um","desirous"
"currus currūs m.","chariot"
"dēscendō dēscendere dēscendī dēscēnsus","to descend"
"dēserō dēserere dēseruī dēsertus","to leave, abandon"
"expugnātiō –ōnis f.","a taking by assault, storming"
"fābula fābulae f.","story"
"fīlum –ī n.","thread, string"
"forte","by chance"
"glōria glōriae f.","renown, glory"
"hūc","to here, hither"
"humilis humile","humble"
"ibī","there; then"
"illūc","there"
"interficiō interficere interfēcī interfectus","to kill"
"Labyrinthus –ī m.","the Labyrinth"
"lītus lītoris n.","sea–shore"
"maereō –ēre","to be sorrowful"
"mīrābilis –e","wonderful, extraordinary"
"moenia moenium n. pl.","walls"
"mōnstrum mōnstrī n.","omen; monster"
"mōra mōrae f.","delay"
"mors mortis f.","death"
"narrātiō –iōnis f.","a relating, narrative"
"necō necārī necāvī necātus","to kill"
"nex necis f.","killing, murder"
"oblīvīscor oblīvīscī oblītus sum","to forget"
"occīdō occīdere occīdī occīsum","to knock down, kill"
"olim","formerly"
"parātus –a –um","prepared"
"pateō patēre patuī","to be open"
"polliceor pollicērī pollicitus sum","to promise"
"prōspiciō prōspicere prōspexī prōspectum","to see in front, inspect"
"quotannīs","every year"
"regō regere rēxī rēctus","to rule"
"rēx rēgis m.","king"
"saevus –a –um","savage"
"saxum saxī n.","rock, boulder, stone"
"taurus taurī m.","bull"
"terribilis terribile","terrifying"
"timidus –a– um","hesitant, cowardly, timid"
"trahō trahere trāxī tractus","to drag"
"vorō vorāre vorāvī vorātus","to swallow up"
